"Contact ID","campaign_id","parent_campaign_id","Campaign LaunchTime","Email Opened Time","country","state","Email Opened"
72496,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:22:00",NULL,NULL,"1"
150271,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:59:00",NULL,NULL,"1"
151972,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00","United States","Oregon","1"
109228,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Iowa","1"
150575,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:22:00","Japan","Tokyo","1"
109022,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00","United States","Wyoming","1"
110014,9556,8955,"2020-06-17 07:00:00","2020-06-24 12:20:00",NULL,NULL,"1"
60262,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:03:00",NULL,NULL,"1"
72083,8351,8350,"2020-03-24 11:00:00","2020-03-31 07:37:00",NULL,NULL,"1"
72172,8351,8350,"2020-03-24 11:00:00","2020-04-07 11:20:00",NULL,NULL,"1"
59955,8351,8350,"2020-03-24 11:00:00","2020-03-31 10:48:00",NULL,NULL,"1"
151361,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00",NULL,NULL,"1"
59906,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00",NULL,NULL,"1"
60268,9556,8955,"2020-06-17 07:00:00","2020-06-17 07:01:00",NULL,NULL,"1"
71741,8351,8350,"2020-03-24 11:00:00","2020-04-21 14:06:00",NULL,NULL,"1"
111103,9556,8955,"2020-06-17 07:00:00","2020-06-24 15:15:00",NULL,NULL,"1"
150624,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00",NULL,NULL,"1"
72182,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:12:00",NULL,NULL,"1"
72559,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:02:00","United States","Oregon","1"
149788,9556,8955,"2020-06-17 07:00:00","2020-06-26 09:40:00",NULL,NULL,"1"
150519,9556,8955,"2020-06-17 07:00:00","2020-07-01 07:01:00",NULL,NULL,"1"
109290,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Iowa","1"
149998,9556,8955,"2020-06-17 07:00:00","2020-06-26 07:16:00",NULL,NULL,"1"
115998,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:13:00",NULL,NULL,"1"
72597,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:01:00",NULL,NULL,"1"
71745,8351,8350,"2020-03-24 11:00:00","2020-04-01 10:56:00",NULL,NULL,"1"
111985,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:02:00",NULL,NULL,"1"
109219,9556,8955,"2020-06-17 07:00:00","2020-07-01 16:01:00",NULL,NULL,"1"
149484,9556,8955,"2020-06-17 07:00:00","2020-07-02 05:38:00",NULL,NULL,"1"
60105,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:13:00",NULL,NULL,"1"
64306,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:14:00","United Kingdom","England","1"
151841,9556,8955,"2020-06-17 07:00:00","2020-06-24 06:15:00",NULL,NULL,"1"
59997,8351,8350,"2020-03-24 11:00:00","2020-04-07 13:11:00",NULL,NULL,"1"
112705,9556,8955,"2020-06-17 07:00:00","2020-07-02 12:37:00",NULL,NULL,"1"
72263,8351,8350,"2020-03-24 11:00:00","2020-03-31 07:19:00",NULL,NULL,"1"
72869,8351,8350,"2020-03-24 11:00:00","2020-03-31 09:44:00",NULL,NULL,"1"
60052,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:01:00",NULL,NULL,"1"
108869,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00","United States","Washington","1"
111537,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:01:00",NULL,NULL,"1"
149806,9556,8955,"2020-06-17 07:00:00","2020-06-26 04:47:00",NULL,NULL,"1"
150726,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00",NULL,NULL,"1"
60105,8351,8350,"2020-03-24 11:00:00","2020-03-31 08:33:00",NULL,NULL,"1"
150285,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:14:00",NULL,NULL,"1"
150301,9556,8955,"2020-06-17 07:00:00","2020-06-21 16:30:00",NULL,NULL,"1"
109336,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
111455,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:02:00",NULL,NULL,"1"
72848,8351,8350,"2020-03-24 11:00:00","2020-04-23 16:04:00",NULL,NULL,"1"
109039,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:05:00",NULL,NULL,"1"
111103,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:49:00",NULL,NULL,"1"
60150,8351,8350,"2020-03-24 11:00:00","2020-04-14 10:12:00",NULL,NULL,"1"
71818,8351,8350,"2020-03-24 11:00:00","2020-04-07 13:39:00",NULL,NULL,"1"
109533,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00",NULL,NULL,"1"
72077,8351,8350,"2020-03-24 11:00:00","2020-04-07 11:07:00",NULL,NULL,"1"
72518,8351,8350,"2020-03-24 11:00:00","2020-03-31 09:03:00",NULL,NULL,"1"
149706,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:04:00",NULL,NULL,"1"
151960,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00","United States","Oregon","1"
72057,8351,8350,"2020-03-24 11:00:00","2020-04-14 09:39:00",NULL,NULL,"1"
59978,9556,8955,"2020-06-17 07:00:00","2020-07-01 14:59:00",NULL,NULL,"1"
71965,8351,8350,"2020-03-24 11:00:00","2020-04-14 09:24:00",NULL,NULL,"1"
149706,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:01:00",NULL,NULL,"1"
72462,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00",NULL,NULL,"1"
110236,9556,8955,"2020-06-17 07:00:00","2020-06-24 16:27:00",NULL,NULL,"1"
60182,8351,8350,"2020-03-24 11:00:00","2020-04-07 14:18:00",NULL,NULL,"1"
109335,9556,8955,"2020-06-17 07:00:00","2020-06-24 10:58:00",NULL,NULL,"1"
72580,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:01:00",NULL,NULL,"1"
108892,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00","United States","Texas","1"
72321,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:03:00",NULL,NULL,"1"
152154,9556,8955,"2020-06-17 07:00:00","2020-07-01 11:22:00",NULL,NULL,"1"
59978,9556,8955,"2020-06-17 07:00:00","2020-06-24 10:03:00",NULL,NULL,"1"
60204,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
71745,8351,8350,"2020-03-24 11:00:00","2020-04-21 13:25:00",NULL,NULL,"1"
152100,9556,8955,"2020-06-17 07:00:00","2020-07-01 11:49:00",NULL,NULL,"1"
60161,8351,8350,"2020-03-24 11:00:00","2020-04-14 10:10:00",NULL,NULL,"1"
